source_id,publisher,direct_url_or_template,sport_family,competition_scope,fact_classes,authority_class,official_status,access_method,authentication,machine_readable,documented_api,observed_at_utc,access_state,last_access_test_at,next_retest_due,latency_note,coverage_limit,fallback_ids,conflict_rule,notes
AFL_FIXTURE,AFL,https://www.afl.com.au/fixture,Australian football,AFL|AFLW,fixture|event_identity|result,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Dynamic match-centre publication,AFL-operated competitions,,OFFICIAL_EVENT_SHEET_WINS,Retain exact match-centre page and raw hash
AFL_LAWS,AFL,https://www.afl.com.au/about-afl/laws-of-the-game,Australian football,AFL|AFLW,rules,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Season release,Competition variations require exact document,,EXACT_COMPETITION_RULES_WIN,Register the effective PDF rather than the hub alone
NRL_DRAW,NRL,https://www.nrl.com/draw/,Rugby league,NRL|NRLW,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Live match-centre updates,NRL-operated competitions,,OFFICIAL_EVENT_SHEET_WINS,Final team and result require exact match centre
NRL_TEAM_LISTS,NRL,https://www.nrl.com/news/topic/team-lists/,Rugby league,NRL|NRLW,lineup|availability,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Published on competition timetable,Final actual 17 still needs match centre,,OFFICIAL_EVENT_SHEET_WINS,Preserve announcement and final-team times separately
WORLD_RUGBY_LAWS,World Rugby,https://passport.world.rugby/laws-of-the-game/,Rugby union,ALL,rules,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Versioned law releases,Competition regulations and trials override,,EXACT_COMPETITION_RULES_WIN,Store effective date and law variation
WORLD_RUGBY_FIXTURES,World Rugby,https://www.world.rugby/tournaments/fixtures-results,Rugby union,INTERNATIONAL,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Tournament-dependent,International events only,,OFFICIAL_EVENT_SHEET_WINS,Exact tournament match sheet controls
ICC_PLAYING_CONDITIONS,ICC,https://www.icc-cricket.com/about/cricket/rules-and-regulations/playing-conditions,Cricket,ICC,rules|playing_conditions,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Format and event releases,ICC events and international formats,,EXACT_COMPETITION_RULES_WIN,Select exact format and event document
ICC_FIXTURES_RESULTS,ICC,https://www.icc-cricket.com/fixtures-results,Cricket,ICC,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Live scorecard updates,Host-board scorecard may be exact authority,,OFFICIAL_EVENT_SHEET_WINS,Store official scorecard and correction chain
MLC_MATCHES,Major League Cricket,https://www.majorleaguecricket.com/matches,Cricket,MLC,fixture|event_identity|lineup|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-07-30T00:00:00Z,JavaScript-heavy and event dependent,MLC only,ICC_FIXTURES_RESULTS,OFFICIAL_EVENT_SHEET_WINS,Parser and latency tests are not yet approved
IFAB_LAWS,IFAB,https://www.theifab.com/laws/latest/,Soccer,ALL,rules,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Annual effective edition,Competition regulations override,,EXACT_COMPETITION_RULES_WIN,Record the applicable edition
FIFA_MATCH_CENTRE,FIFA,https://www.fifa.com/en/match-centre,Soccer,FIFA,fixture|event_identity|lineup|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Event dependent,FIFA competitions,,OFFICIAL_EVENT_SHEET_WINS,Exact match report controls
MLB_SCHEDULE,MLB,https://www.mlb.com/schedule,Baseball,MLB,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,PARTIAL,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Gameday updates,MLB only,,OFFICIAL_EVENT_SHEET_WINS,Official-host JSON routes are undocumented unless separately registered
MLB_RULES,MLB,https://www.mlb.com/official-information/official-rules,Baseball,MLB,rules,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Season release,MLB only,,EXACT_COMPETITION_RULES_WIN,Register season document
NPB_GAMES,NPB,https://npb.jp/games/2026/,Baseball,NPB,fixture|event_identity|result,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Season page,NPB 2026,,OFFICIAL_EVENT_SHEET_WINS,No complete central injury feed verified
KBO_GAMECENTRE,KBO,https://www.koreabaseball.com/Schedule/Schedule.aspx,Baseball,KBO,fixture|event_identity|result,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Dynamic schedule,KBO only,,OFFICIAL_EVENT_SHEET_WINS,Retain Korean official route
NBA_SCHEDULE,NBA,https://www.nba.com/schedule,Basketball,NBA,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Live gamebook updates,NBA only,,OFFICIAL_EVENT_SHEET_WINS,Official gamebook controls settlement
