coverage_id,sport_family,competition_scope,market_scope,forecast_state,analysis_mode,status,model_id,model_version,source_map_id,test_report_id,shadow_report_id,approved_by,approval_utc,expires_utc,reason
SOCCER_GOALS_ALL,Soccer,ALL,"goals|result|handicap|total|advance",ALL,ALL,DEVELOPMENT,DEV_SOCCER_SCORE_V0,0.1.0,,,,,,,Architecture only not fitted calibrated tested shadowed or approved and not active
SOCCER_COUNTS_ALL,Soccer,ALL,"corners|cards|shots",ALL,ALL,DEVELOPMENT,DEV_SOCCER_COUNTS_V0,0.1.0,,,,,,,Architecture only; player props require a separate exposure card; not fitted calibrated tested shadowed or approved and not active
BASEBALL_ALL,Baseball,"MLB|NPB|KBO|OTHER","winner|runline|total|team_total|F5|NRFI",ALL,ALL,DEVELOPMENT,DEV_BASEBALL_PA_V0,0.1.0,,,,,,,Architecture only; player props excluded pending exposure subcard; not fitted calibrated tested shadowed approved or active
BASKETBALL_ALL,Basketball,"NBA|WNBA|FIBA|DOMESTIC|SUMMER_LEAGUE|OTHER","winner|spread|total|team_total",ALL,ALL,DEVELOPMENT,DEV_BASKETBALL_POSSESSION_V0,0.1.0,,,,,,,Architecture only; phase and player props require separately tested subcards; not fitted calibrated tested shadowed or approved and not active
CRICKET_ALL,Cricket,"T20|WT20I|MLC|ODI|TEST|U19|OTHER","winner|innings_total|phase_total|team_total",ALL,ALL,DEVELOPMENT,DEV_CRICKET_BALL_STATE_V0,0.1.0,,,,,,,Architecture only; player props excluded pending role and exposure subcard; not fitted calibrated tested shadowed approved or active
AUSTRALIAN_FOOTBALL_ALL,Australian football,"AFL|AFLW|OTHER","winner|line|margin|total|team_total",ALL,ALL,DEVELOPMENT,DEV_AFL_SCORE_V0,0.1.0,,,,,,,Architecture only; phase and player props excluded pending separate cards; not fitted calibrated tested shadowed approved or active
ICE_HOCKEY_ALL,Ice hockey,ALL,"regulation_result|winner|puckline|total|team_total",ALL,ALL,DEVELOPMENT,DEV_ICE_HOCKEY_STATE_V0,0.1.0,,,,,,,Architecture only; player props excluded pending exposure subcard; not fitted calibrated tested shadowed approved or active
AMERICAN_FOOTBALL_ALL,American football,"NFL|COLLEGE|OTHER","winner|spread|total|team_total",ALL,ALL,DEVELOPMENT,DEV_AMERICAN_FOOTBALL_DRIVE_V0,0.1.0,,,,,,,Architecture only; phase and player props require separately tested subcards; not fitted calibrated tested shadowed or approved and not active
RUGBY_LEAGUE_ALL,Rugby league,"NRL|NRLW|OTHER","winner|line|margin|total|team_total",ALL,ALL,DEVELOPMENT,DEV_RUGBY_LEAGUE_SCORE_V0,0.1.0,,,,,,,Architecture only; phase and player props excluded pending separate cards; not fitted calibrated tested shadowed approved or active
RUGBY_UNION_ALL,Rugby union,ALL,"winner|line|margin|total|team_total",ALL,ALL,DEVELOPMENT,DEV_RUGBY_UNION_SCORE_V0,0.1.0,,,,,,,Architecture only; phase and player props excluded pending separate cards; not fitted calibrated tested shadowed approved or active
TENNIS_ALL,Tennis,ALL,"match_winner|set|game|handicap|total",ALL,ALL,DEVELOPMENT,DEV_TENNIS_POINT_V0,0.1.0,,,,,,,Architecture only; player props excluded; not fitted calibrated tested shadowed approved or active
VOLLEYBALL_ALL,Volleyball,ALL,"match_winner|set|point|handicap|total",ALL,ALL,DEVELOPMENT,DEV_VOLLEYBALL_RALLY_V0,0.1.0,,,,,,,Architecture only; player props excluded; not fitted calibrated tested shadowed approved or active
GOLF_ALL,Golf,ALL,"winner|placement|matchup|round|hole",ALL,ALL,DEVELOPMENT,DEV_GOLF_HOLE_V0,0.1.0,,,,,,,Architecture only; player props excluded; not fitted calibrated tested shadowed approved or active
MOTORSPORT_ALL,Motorsport,ALL,"winner|podium|placement|matchup|finish",ALL,ALL,DEVELOPMENT,DEV_MOTORSPORT_RACE_V0,0.1.0,,,,,,,Architecture only; player props excluded; not fitted calibrated tested shadowed approved or active
COMBAT_ALL,Combat,ALL,"winner|method|duration|round",ALL,ALL,DEVELOPMENT,DEV_COMBAT_HAZARD_V0,0.1.0,,,,,,,Architecture only; event counts and player props excluded; not fitted calibrated tested shadowed approved or active
OTHER_SPORT_ALL,Other,ALL,ALL,ALL,ALL,UNSUPPORTED,,,,,,,,,No registered sport-specific scope or approved evidence
