requirement_id,category,status,test_file,test_name,notes
"SPEC-FILES-001","STATIC","PARTIAL","scripts/validate_v3_system.ps1 | tests/release.test.mjs","static artifact checks and release reconciliation","Current artifacts are checked; destructive missing-file fixtures are not yet isolated."
"SPEC-STATUS-001","STATIC","PARTIAL","scripts/validate_v3_system.ps1 | tests/release.test.mjs","canonical status and suspended release checks","Current suspended state is tested; every Markdown status mutation is not."
"SPEC-AUTH-001","STATIC","PARTIAL","scripts/validate_v3_system.ps1 | tests/release.test.mjs","authority precedence and release authorization","Release authorization is executable; every legacy precedence mutation is not."
"SPEC-COVERAGE-001","STATIC","PARTIAL","tests/coverage.test.mjs | tests/release.test.mjs","coverage registry and zero ACTIVE release","Current registry and status controls are covered; all malformed-column cases are not."
"SPEC-DEVELOPMENT-MODELS-001","STATIC","PARTIAL","tests/controls.test.mjs | tests/development.test.mjs","development controls and model-plan validation","Core governance is covered; complete architecture-catalog enumeration remains static-only."
"SPEC-SCHEMA-001","STATIC","PARTIAL","tests/schema.test.mjs | tests/packet.test.mjs | tests/canonical.test.mjs","decision packet schema compilation and closed canonical validation","The real ISSUE fixture validates and root smuggling fails; complete entity-dictionary enumeration is not unit-tested."
"SPEC-MODES-001","STATIC","PARTIAL","tests/packet.test.mjs | tests/issue_gates.test.mjs","mode vocabulary and conditional null behavior","PASS null behavior is covered; isolated invalid ISSUE mode remains TODO."
"SPEC-GATES-001","STATIC","PARTIAL","tests/issue_gates.test.mjs | scripts/validate_v3_system.ps1","runtime gate inventory","Every current ISSUE gate has a happy-path result; not every gate has full negative coverage."
"SPEC-SCORING-001","STATIC","COVERED","tests/scoring.test.mjs","canonical scoring fixtures reproduce exactly","Binary and push scoring fixtures reproduce within tolerance."
"SPEC-NO-BROKEN-REF-001","STATIC","PARTIAL","scripts/validate_v3_system.ps1","operative reference validation","Static reference validation exists; mutation fixtures for every dependency type do not."
"GATE-AUTH-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/release.test.mjs","valid operational ISSUE and suspended-release rejection","Synthetic control-bundle authority is tested; production deployment artifact parity is not."
