requirement_id,status,test_file,test_name,notes
ANALYSIS-REG-001,COVERED,tests/analysis.test.mjs,analysis registry has exactly five honest ACTIVE_ANALYSIS_ONLY models,Exactly one active analysis-only model exists for each requested sport and hashes reconcile.
ANALYSIS-CLAIM-001,COVERED,tests/analysis.test.mjs,cricket chase model reproduces the documented England live lean without a probability,Output explicitly sets numeric_forecast_authorized false and omits probability.
ANALYSIS-BASEBALL-001,COVERED,tests/analysis.test.mjs,baseball model uses inning and score state,Baseball live score/inning path is executable.
ANALYSIS-CRICKET-001,COVERED,tests/analysis.test.mjs,cricket chase model reproduces the documented England live lean without a probability,Limited-overs chase path is executable against the documented state.
ANALYSIS-SOCCER-001,COVERED,tests/analysis.test.mjs,soccer model uses score clock and red-card state,Soccer live score/time/red-card path is executable.
ANALYSIS-AFL-001,COVERED,tests/analysis.test.mjs,AFL and NRL models use sport-specific margin/time scales,AFL margin/quarter path is executable.
ANALYSIS-NRL-001,COVERED,tests/analysis.test.mjs,AFL and NRL models use sport-specific margin/time scales,NRL margin/time path is executable.
ANALYSIS-TOSSUP-001,COVERED,tests/analysis.test.mjs,tied neutral state returns TOSSUP rather than inventing a side,Neutral tied state does not force a participant.
ANALYSIS-SOURCE-FRESH-001,COVERED,tests/analysis.test.mjs,stale wrong-host and unapproved sources fail closed,Stale source snapshots fail closed.
ANALYSIS-SOURCE-HOST-001,COVERED,tests/analysis.test.mjs,stale wrong-host and unapproved sources fail closed,Source hostname must match its official registry entry.
ANALYSIS-SOURCE-SCOPE-001,COVERED,tests/analysis.test.mjs,stale wrong-host and unapproved sources fail closed,Cross-sport or unapproved sources fail closed.
ANALYSIS-SCHEMA-001,COVERED,tests/analysis.test.mjs,closed request schemas reject smuggled model or price fields,Unknown probability/model/price fields cannot be smuggled into a request.
ANALYSIS-SCOPE-001,COVERED,tests/analysis.test.mjs,unsupported competitions do not inherit an analysis model,Competition scope is exact and does not inherit by sport name.
ANALYSIS-CRICKET-TARGET-001,COVERED,tests/analysis.test.mjs,cricket revised targets and inconsistent standard targets fail closed,Revised targets and inconsistent standard targets are excluded.
ANALYSIS-STATE-BOUNDS-001,COVERED,tests/analysis.test.mjs,soccer extra time and impossible AFL period clocks remain out of scope,Out-of-scope time states fail closed.
ANALYSIS-LIFECYCLE-001,COVERED,tests/analysis.test.mjs,analysis registry expires models and overdue source access rather than staying active forever,Model expiry and source access retest dates are enforced.
