file,line,date,sport,match,market_group,ranked_picks,result,card_outcome,parsed_wins,parsed_losses,cell_count
PREDICTION_RESULTS_LOG_v2.md,211,2026-05-02,MLB,SF Giants @ TB Rays,Run line and total,"1. Under 9.0, 2. Rays +1.5, 3. SF +1.5, 4. Over 6.5","Rays 5, Giants 1. Total 6.",2-2: Under 9.0 won; Rays +1.5 won; SF +1.5 lost; Over 6.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,212,2026-05-03,AFL,Gold Coast Suns vs GWS Giants,Handicap and total,"1. Suns +1.5, 2. Under 192.5, 3. Over 172.5, 4. Giants +18.5","Gold Coast 83, GWS 63. Total 146.",2-2: Suns +1.5 won; Under 192.5 won; Over 172.5 lost; Giants +18.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,213,2026-05-03,Cricket,SRH vs KKR,SRH 1st innings and powerplay totals,"1. PP Over 54.5, 2. Innings Under 222.5, 3. Innings Over 202.5, 4. PP Under 64.5",SRH 165 all out; powerplay 71/1.,2-2: PP Over 54.5 won; Innings Under 222.5 won; Innings Over 202.5 lost; PP Under 64.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,214,2026-05-03,Cricket,GT vs Punjab Kings,Punjab 1st innings and powerplay totals,"1. PP Under 67.5, 2. Innings Under 211.5, 3. Innings Over 191.5, 4. PP Over 57.5",Punjab 163/9; powerplay 35/3.,2-2: PP Under 67.5 won; Innings Under 211.5 won; Innings Over 191.5 lost; PP Over 57.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,215,2026-05-03,MLB,TEX Rangers @ DET Tigers,Run line and total,"1. Tigers +1.5, 2. Under 9.5, 3. Over 7.5, 4. Rangers +1.5","Tigers 7, Rangers 1. Total 8.",3-1: Tigers +1.5 won; Under 9.5 won; Over 7.5 won; Rangers +1.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,216,2026-05-04,Cricket,Mumbai Indians vs Lucknow Super Giants,LSG 1st innings and powerplay totals,"1. Innings Under 202.5, 2. PP Under 60.5, 3. Innings Over 182.5, 4. PP Over 50.5",LSG 228/5; powerplay 90/1. Live check at 157/4 after 11.1 overs: Under 239.5 won.,"Listed items 2-2, adjusted 2-3 with bottom-pick penalty: Innings Under 202.5 lost; PP Under 60.5 lost; Innings Over 182.5 won; PP Over 50.5 won. Live reassessment: Under 239.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,217,2026-05-04,MLB,Philadelphia Phillies @ Miami Marlins,Run line and total,"1. Marlins +1.5, 2. Under 9.5, 3. Phillies +1.5, 4. Over 7.5","Phillies 1, Marlins 0. Total 1.",3-1: Marlins +1.5 won; Under 9.5 won; Phillies +1.5 won; Over 7.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,218,2026-05-04,NBA,Minnesota Timberwolves @ San Antonio Spurs,First-half and full-game totals,"1. 1H Over 95.5, 2. Full Under 224.0, 3. Full Over 213.0, 4. 1H Under 104.5","Timberwolves 104, Spurs 102. First half 90; full total 206.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: 1H Over 95.5 lost; Full Under 224.0 won; Full Over 213.0 lost; 1H Under 104.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,219,2026-05-05,Basketball,NLEX Road Warriors vs Titan Ultra Giant Risers,Handicap and total,"1. Under 207.5, 2. Titan Ultra +17.5, 3. Over 207.5, 4. Road Warriors -17.5","NLEX 123, Titan Ultra 112 after overtime.",2-2: Under 207.5 lost; Titan Ultra +17.5 won; Over 207.5 won; Road Warriors -17.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,220,2026-05-05,Cricket,Delhi Capitals vs Chennai Super Kings,Delhi 1st innings and powerplay totals,"1. Innings Under 212.5, 2. PP Under 64.5, 3. PP Over 54.5, 4. Innings Over 192.5",DC 155/7; powerplay 37/2. CSK won by 8 wickets.,2-2: Innings Under 212.5 won; PP Under 64.5 won; PP Over 54.5 lost; Innings Over 192.5 lost.,,,8
PREDICTION_RESULTS_LOG_v2.md,221,2026-05-05,MLB,Texas Rangers @ New York Yankees,Run line and total,"1. Yankees +1.5, 2. Under 9.5, 3. Rangers +1.5, 4. Over 7.5","Yankees 7, Rangers 4. Total 11.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: Yankees +1.5 won; Under 9.5 lost; Rangers +1.5 lost; Over 7.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,222,2026-05-06,NBA,Minnesota Timberwolves @ San Antonio Spurs,First-half and full-game totals,"1. 1H Under 110.5, 2. Full Under 222.0, 3. Full Over 212.0, 4. 1H Over 102.5","Spurs 133, Timberwolves 95. First half 94; full total 228.",2-2: 1H Under 110.5 won; Full Under 222.0 lost; Full Over 212.0 won; 1H Over 102.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,223,2026-05-07,AFL,Fremantle vs Hawthorn,Handicap and total,"1. Hawthorn +16.5, 2. Under 186.5, 3. Fremantle +3.5, 4. Over 166.5","Fremantle 88, Hawthorn 73. Quarter scores: Freo 28-44-52-88; Hawthorn 26-59-67-73. Total 161.",3-1: Hawthorn +16.5 won; Under 186.5 won; Fremantle +3.5 won; Over 166.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,224,2026-05-07,Cricket,Lucknow Super Giants vs Royal Challengers Bengaluru,LSG 1st innings and powerplay totals,"1. Innings Under 181.5, 2. PP Under 54.5, 3. Innings Over 161.5, 4. PP Over 44.5",LSG 209; powerplay 68/0. LSG beat RCB in a rain-affected match.,"Listed items 2-2, adjusted 2-3 with bottom-pick penalty: Innings Under 181.5 lost; PP Under 54.5 lost; Innings Over 161.5 won; PP Over 44.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,225,2026-05-08,Basketball,Elitzur/Barak Netanya vs Hapoel Jerusalem,First-quarter and first-half totals,"1. 1H Over 86.5, 2. 1Q Over 43.5, 3. 1Q Under 43.5, 4. 1H Under 86.5","Hapoel Jerusalem 97, Elitzur Netanya 81. Quarter scores: Netanya 24-22-14-21; Hapoel 22-27-28-20. 1Q total 46; 1H total 95.",2-2: 1H Over 86.5 won; 1Q Over 43.5 won; 1Q Under 43.5 lost; 1H Under 86.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,226,2026-05-08,MLB,Minnesota Twins @ Washington Nationals,Run line and total,"1. Over 8.0, 2. Nationals +1.5, 3. Under 10.5, 4. Twins +1.5","Nationals 7, Twins 5. Total 12.",2-2: Over 8.0 won; Nationals +1.5 won; Under 10.5 lost; Twins +1.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,227,2026-05-09,MLB,Houston Astros @ Cincinnati Reds,Run line and total,"1. Over 8.0, 2. Reds +1.5, 3. Astros +1.5, 4. Under 10.0","Astros 10, Reds 0. Total 10.","2-1-1 push: Over 8.0 won; Reds +1.5 lost; Astros +1.5 won; Under 10.0 pushed. No bottom-pick penalty because the bottom pick pushed, not won.",,,8
PREDICTION_RESULTS_LOG_v2.md,228,2026-05-09,MLB,Atlanta Braves @ Los Angeles Dodgers,Run line and total,"1. Under 9.5, 2. Braves +1.5, 3. Over 6.5, 4. Dodgers +1.5","Dodgers 3, Braves 1. Inning scores: ATL 0-1-0-0-0-0-0-0-0; LAD 0-1-0-0-1-1-0-0-x. Total 4.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: Under 9.5 won; Braves +1.5 lost; Over 6.5 lost; Dodgers +1.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,229,2026-05-09,AFL,Gold Coast Suns vs St Kilda,Handicap and total,"1. Under 200.5, 2. Gold Coast -9.5, 3. Over 180.5, 4. St Kilda +29.5","Gold Coast 82, St Kilda 47. Total 129.",2-2: Under 200.5 won; Gold Coast -9.5 won; Over 180.5 lost; St Kilda +29.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,230,2026-05-09,Cricket,Rajasthan Royals vs Gujarat Titans,GT 1st innings and powerplay totals,"1. PP Under 63.5, 2. Innings Under 213.5, 3. Innings Over 193.5, 4. PP Over 53.5","GT 229/4 in 20 overs; mandatory powerplay 82/0. RR won toss and chose to bowl at Sawai Mansingh Stadium, Jaipur.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: PP Under 63.5 lost; Innings Under 213.5 lost; Innings Over 193.5 won; PP Over 53.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,231,2026-05-10,Basketball,Unicaja Malaga vs La Laguna Tenerife,First-quarter and first-half totals,"1. 1Q Over 41.5, 2. 1H Over 81.5, 3. 1H Under 81.5, 4. 1Q Under 41.5","Unicaja Malaga 85, La Laguna Tenerife 80. Quarter scores: Unicaja 24-17-19-25; Tenerife 22-23-17-18. Q1 total 46; 1H total 86.",2-2: 1Q Over 41.5 won; 1H Over 81.5 won; 1H Under 81.5 lost; 1Q Under 41.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,232,2026-05-10,Basketball,Zlatorog Lasko vs Cedevita Olimpija,First-quarter and first-half totals,"1. 1H Over 82.5, 2. 1Q Over 41.5, 3. 1Q Under 41.5, 4. 1H Under 82.5","Cedevita Olimpija 89, Zlatorog Lasko 76. Quarter scores: Zlatorog 24-18-18-16; Cedevita 24-28-20-17. Q1 total 48; 1H total 94.",2-2: 1H Over 82.5 won; 1Q Over 41.5 won; 1Q Under 41.5 lost; 1H Under 82.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,233,2026-05-10,MLB,Colorado Rockies @ Philadelphia Phillies,"Winner, run cushion, and total","1. Rockies +2.5, 2. Over 7.5, 3. Under 9.5, 4. Phillies to win","Phillies 9, Rockies 3. Total 12.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: Rockies +2.5 lost; Over 7.5 won; Under 9.5 lost; Phillies to win won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,234,2026-05-10,Cricket,Chennai Super Kings vs Lucknow Super Giants,LSG 1st innings and powerplay totals,"1. Innings Over 170.5, 2. PP Over 50.5, 3. Innings Under 190.5, 4. PP Under 60.5",LSG 203/8; powerplay 91 runs.,2-2: Innings Over 170.5 won; PP Over 50.5 won; Innings Under 190.5 lost; PP Under 60.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,235,2026-05-11,Cricket,Royal Challengers Bengaluru vs Mumbai Indians,MI 1st innings and powerplay totals,"1. PP Under 65.5, 2. Innings Under 212.5, 3. Innings Over 192.5, 4. PP Over 55.5","MI 196/8 in 20 overs; mandatory powerplay 53/3. RCB 198/8, won by 2 wickets.",3-1: PP Under 65.5 won; Innings Under 212.5 won; Innings Over 192.5 won; PP Over 55.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,236,2026-05-11,Basketball,Napoli Basket vs APU Udine,First-quarter and first-half totals,"1. 1H Under 84.5, 2. 1Q Under 42.5, 3. 1Q Over 42.5, 4. 1H Over 84.5","Napoli Basket 98, APU Udine 71. Q1 total 37; 1H total 78.",2-2: 1H Under 84.5 won; 1Q Under 42.5 won; 1Q Over 42.5 lost; 1H Over 84.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,237,2026-05-11,Basketball,Zadar vs GKK Sibenka,First-quarter and first-half totals,"1. 1Q Over 41.5, 2. 1H Over 83.5, 3. 1H Under 83.5, 4. 1Q Under 41.5","Zadar 113, GKK Sibenka 71. Zadar led 25-23 after Q1 and 62-36 at halftime; Q1 total 48; 1H total 98.",2-2: 1Q Over 41.5 won; 1H Over 83.5 won; 1H Under 83.5 lost; 1Q Under 41.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,238,2026-05-11,MLB,Washington Nationals @ Miami Marlins,Run line and total,"1. Marlins +1.5, 2. Under 9.5, 3. Nationals +1.5, 4. Over 7.0","Marlins 5, Nationals 2. Total 7.","2-1-1 push: Marlins +1.5 won; Under 9.5 won; Nationals +1.5 lost; Over 7.0 pushed. No bottom-pick penalty because the bottom pick pushed, not won.",,,8
PREDICTION_RESULTS_LOG_v2.md,239,2026-05-11,WNBA,Seattle Storm @ Connecticut Sun,First-quarter and first-half totals,"1. 1H Over 83.5, 2. 1Q Over 41.5, 3. 1Q Under 41.5, 4. 1H Under 83.5","Storm 89, Sun 82. Quarter scores: Seattle 29-15-22-23; Connecticut 24-25-17-16. Q1 total 53; 1H total 93.",2-2: 1H Over 83.5 won; 1Q Over 41.5 won; 1Q Under 41.5 lost; 1H Under 83.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,240,2026-05-11,Basketball,Chiba Jets vs Gunma Crane Thunders,First-quarter and first-half totals,"1. 1H Over 79.5, 2. 1Q Over 39.5, 3. 1Q Under 39.5, 4. 1H Under 79.5","Chiba Jets 88, Gunma Crane Thunders 83. Quarter scores: Chiba 24-16-22-26; Gunma 24-24-18-17. Q1 total 48; 1H total 88.",2-2: 1H Over 79.5 won; 1Q Over 39.5 won; 1Q Under 39.5 lost; 1H Under 79.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,241,2026-05-11,Cricket,Punjab Kings vs Delhi Capitals,PBKS 1st innings and powerplay totals,"1. PP Under 69.5, 2. Innings Under 222.5, 3. Innings Over 202.5, 4. PP Over 59.5","PBKS 210/5; mandatory powerplay 72. DC won toss and chose to bowl first at HPCA Stadium, Dharamshala; Punjab batted first.","Listed items 3-1, adjusted 3-2 with bottom-pick penalty: PP Under 69.5 lost; Innings Under 222.5 won; Innings Over 202.5 won; PP Over 59.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,242,2026-05-12,Basketball,Bnei Herzliya vs Elitzur Netanya,First-quarter and first-half totals,"1. 1H Over 88.5, 2. 1Q Under 44.5, 3. 1Q Over 44.5, 4. 1H Under 88.5","Bnei Herzliya 108, Elitzur Netanya 107. Quarter scores: Bnei 22-24-35-27; Netanya 24-28-28-27. Q1 total 46; 1H total 98.",2-2: 1H Over 88.5 won; 1Q Under 44.5 lost; 1Q Over 44.5 won; 1H Under 88.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,243,2026-05-12,NBA,Detroit Pistons @ Cleveland Cavaliers,First-quarter and first-half totals,"1. 1Q Over 54.5, 2. 1H Under 108.5, 3. 1H Over 108.5, 4. 1Q Under 54.5","Cleveland 112, Detroit 103. Quarter scores: Detroit 24-32-21-26; Cleveland 21-31-38-22. Q1 total 45; 1H total 108.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: 1Q Over 54.5 lost; 1H Under 108.5 won; 1H Over 108.5 lost; 1Q Under 54.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,244,2026-05-12,Cricket,Gujarat Titans vs Sunrisers Hyderabad,GT 1st innings and powerplay totals,"1. Innings Under 202.5, 2. PP Under 62.5, 3. Innings Over 186.5, 4. PP Over 52.5","GT 168/5; mandatory powerplay 34. SRH won toss and chose to bowl first at Narendra Modi Stadium, Ahmedabad. GT won by 82 runs.",2-2: Innings Under 202.5 won; PP Under 62.5 won; Innings Over 186.5 lost; PP Over 52.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,245,2026-05-13,Basketball,Magnolia Hotshots vs Meralco Bolts,First-quarter and first-half totals,"1. 1H Under 91.5, 2. 1Q Under 45.5, 3. 1Q Over 45.5, 4. 1H Over 91.5","Meralco Bolts 88, Magnolia Hotshots 80. Quarter scores: Magnolia 22-18-25-15; Meralco 24-26-20-18. Q1 total 46; 1H total 90.",2-2: 1H Under 91.5 won; 1Q Under 45.5 lost; 1Q Over 45.5 won; 1H Over 91.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,246,2026-05-13,Basketball,Olympiacos vs Kolossos Rhodes,First-quarter and first-half totals,"1. 1H Over 87.5, 2. 1Q Under 44.5, 3. 1Q Over 44.5, 4. 1H Under 87.5","Olympiacos 117, Kolossos 76. Quarter scores: 35-15, 70-35, 93-55, 117-76.",2-2: 1H Over 87.5 won; 1Q Under 44.5 lost; 1Q Over 44.5 won; 1H Under 87.5 lost. No bottom-pick penalty.,,,8
