"card_id","date","sport","match","competition","governing_body","rulebook_or_playing_conditions","settlement_convention","market_group","rank","option","stated_probability_bucket","stated_probability","frequency_count_base","projection_band","line_or_threshold","result","win_loss_push","top_pick_loss","bottom_pick_win","top_half_sweep_exemption","penalty_applied","ruleset_error","availability_or_eligibility_error","settlement_convention_error","source_status_error","projection_error","rank_slot_calibration_error","settlement_source","phase_source","notes","form_delta_verdict","form_anchor_window","press_signal_class","press_signal_quote_logged","press_signal_direction_hypothesis","press_signal_outcome","officials_named","officials_source_timestamp","officials_impact_note","source_confidence_score","source_disagreement_note","similar_condition_form","role_replacement_bench_verdict","style_fit_note","volatility_stability_note","prediction_triggers"
"SOCCER-20260711-ESP-BEL-CORNERS8","2026-07-11","Soccer","Spain vs Belgium","FIFA World Cup 2026 quarter-final","FIFA","2026 FIFA World Cup regulations","Regulation corners 90 plus stoppage; 8 pushes on Asian 8.0","Match corners","1","Combined corners Over 8.0","40-49","0.47","Spain match totals 12,7,7,9,10; Belgium 9,6,13,6,8","8-10; centre 9","8.0","Spain 2 Belgium 1; corners Spain 5 Belgium 1; total 6","L","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","ESPN FIFA World Cup summary API final checked 2026-07-11 AEST","ESPN team statistics: Spain 5 corners Belgium 1","Over 8.0 lost; Spain's five corners were insufficient because territorial control suppressed Belgium to one.","STABLE Spain corner volume; match-total over path refuted","Current World Cup L5 each","NONE","FALSE","Over through Spain 6+ plus Belgium 2-3","refuted","Michael Oliver","Opened referee report 2026-07-11 AEST","No quantified referee effect","5","No material conflict","Final total six exposed opponent-corner suppression","Confirmed attacking XIs","Spain field tilt produced five; Belgium contribution failed","Whole-number line did not reach push band","Spain control held Belgium to one corner"
"SOCCER-20260711-ESP-BEL","2026-07-11","Soccer","Spain vs Belgium","FIFA World Cup 2026 quarter-final","FIFA","2026 FIFA World Cup regulations","Regulation props 90 plus stoppage; advance includes ET and penalties","Self-selected team goals, corners and player SOT","1","Belgium team total Under 1.5 goals regulation","80-89","0.80","Spain clean sheets 5/5; Belgium goals 1,0,5,3,4","Spain 1-2, Belgium 0-1","1.5","Spain 2 Belgium 1; Belgium scored 1","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPN FIFA World Cup summary API final checked 2026-07-11 AEST","ESPN final team/player statistics","Spain held Belgium to one goal; the ceiling read won despite Belgium ending the clean-sheet run.","Spain defensive ceiling confirmed; clean-sheet streak ended","Current World Cup L5","NONE","FALSE","Belgium scoring ceiling","confirmed","Michael Oliver; Ramon Abatti Abel fourth","Opened referee reports 2026-07-11 AEST","No quantified official effect","5","No material conflict","Belgium only five shots and two SOT","Belgium CDK started; Lukaku bench role did not break ceiling","Spain possession/territory limited volume","Knockout transition goal occurred but no second","A second Belgium goal was the only failure path"
"SOCCER-20260711-ESP-BEL","2026-07-11","Soccer","Spain vs Belgium","FIFA World Cup 2026 quarter-final","FIFA","2026 FIFA World Cup regulations","Regulation props 90 plus stoppage; advance includes ET and penalties","Self-selected team goals, corners and player SOT","2","Spain team total Over 0.5 goals regulation","70-79","0.78","Spain scored 9 in L5 and in 4/5; Belgium conceded in 4/5","Spain 1-2 goals","0.5","Spain 2 Belgium 1; Spain scored 2","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPN FIFA World Cup summary API final checked 2026-07-11 AEST","ESPN final team/player statistics","Spain scored twice; confirmed attacking roles and territorial control supported the goal floor.","Spain attack confirmed","Current World Cup L5","NONE","FALSE","Spain goal floor","confirmed","Michael Oliver; Ramon Abatti Abel fourth","Opened referee reports 2026-07-11 AEST","No quantified official effect","5","No material conflict","Spain produced 17 shots and eight SOT","Spain main attacking core confirmed","Spain field tilt and shot volume","Courtois resistance did not prevent scoring","Only a finishing collapse would have lost"
"SOCCER-20260711-ESP-BEL","2026-07-11","Soccer","Spain vs Belgium","FIFA World Cup 2026 quarter-final","FIFA","2026 FIFA World Cup regulations","Regulation props 90 plus stoppage; advance includes ET and penalties","Self-selected team goals, corners and player SOT","3","Spain team corners Over 3.5 regulation","70-79","0.76","Spain corner counts 11,6,6,9,7; hit 5/5","Spain 4-8 corners","3.5","Spain 2 Belgium 1; Spain corners 5","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPN FIFA World Cup summary API final checked 2026-07-11 AEST","ESPN team statistics: Spain 5 corners","Spain cleared four corners with five; team-corner floor stayed sound even while the match-corner over failed.","Spain team-corner floor confirmed","Current World Cup L5 corner logs","NONE","FALSE","Spain territorial corner floor","confirmed","Michael Oliver; Ramon Abatti Abel fourth","Opened referee reports 2026-07-11 AEST","No quantified official effect","5","No material conflict","Spain reached 4+ for a sixth straight tournament match","Yamal/Baena width confirmed","Spain pressure produced five corners","Team corners more stable than match total","Early control reduced total but not Spain floor"
"SOCCER-20260711-ESP-BEL","2026-07-11","Soccer","Spain vs Belgium","FIFA World Cup 2026 quarter-final","FIFA","2026 FIFA World Cup regulations","Regulation props 90 plus stoppage; advance includes ET and penalties","Self-selected team goals, corners and player SOT","4","Mikel Oyarzabal 1+ shot on target regulation","70-79","0.72","SOT 1,3,0,4,1; hit 4/5; confirmed striker","1-3 SOT","1+","Oyarzabal 1 shot and 1 shot on target; Spain won 2-1","W","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPN FIFA World Cup summary API final checked 2026-07-11 AEST","ESPN player statistics: Oyarzabal 1 SOT","Oyarzabal landed exactly one SOT; confirmed central-striker role made the modest threshold appropriate.","Oyarzabal floor confirmed","Current World Cup five matches","NONE","FALSE","Oyarzabal SOT floor","confirmed","Michael Oliver; Ramon Abatti Abel fourth","Opened referee reports 2026-07-11 AEST","No quantified official effect","5","No material conflict","1+ SOT in five of six tournament matches","Confirmed starter","Spain central-box access versus Courtois","Player prop landed at minimum threshold","Blocked/off-target attempts remained failure path"
"AFL-20260710-COLL-NM-SETTLED","2026-07-11","AFL","Collingwood vs North Melbourne","AFL Round 18","AFL","2026 AFL Laws / premiership season","Full game regulation; official final and quarter splits control","Pregame handicap/total settlement","1","Combined Total Under 173.5","50-59","0.58","North L5 and pregame projection","162-171 central; 174+ tail","173.5","Collingwood 89 North 85; total 174","L","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","ESPN AFL summary API final checked 2026-07-11 AEST","ESPN quarter splits","Lost by 0.5; North scored 85 and written forward-return/Marvel risk landed.","North scoring rebounded","Pregame L5 versus final","S1","TRUE","Under through North suppression","refuted","SOURCE UNAVAILABLE","AFLUA assignment not opened","No official effect","5","Final internally consistent","Second half 85","North forward returns outperformed downgrade","Marvel and missing Collingwood defenders raised North floor","Half-point fragile","North 80+ was named failure path"
"AFL-20260710-COLL-NM-SETTLED","2026-07-11","AFL","Collingwood vs North Melbourne","AFL Round 18","AFL","2026 AFL Laws / premiership season","Full game regulation; official final and quarter splits control","Pregame handicap/total settlement","2","Collingwood -16.5","50-59","0.54","Squiggle consensus margin about 20","Collingwood by 13-22","-16.5","Collingwood won by 4","L","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","ESPN AFL summary API final checked 2026-07-11 AEST","ESPN quarter splits","Winner right but cover failed; North sustained contest and scoring for four quarters.","North resistance confirmed","Pregame models versus final","S1","TRUE","Collingwood contested edge","refuted","SOURCE UNAVAILABLE","AFLUA assignment not opened","No official effect","5","Model dispersion had close-game tail","2024 H2H one-point margin","North replacements functional","Marvel familiarity supported North","Spread volatile","North scoring 80+ and close contest"
"AFL-20260710-COLL-NM-SETTLED","2026-07-11","AFL","Collingwood vs North Melbourne","AFL Round 18","AFL","2026 AFL Laws / premiership season","Full game regulation; official final and quarter splits control","Pregame handicap/total settlement","3","North Melbourne +16.5","40-49","0.46","Marvel familiarity and returning forwards","Collingwood by 13-22","+16.5","North lost by 4","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","ESPN AFL summary API final checked 2026-07-11 AEST","ESPN quarter splits","Underdog cushion won comfortably; should have ranked above Collingwood cover.","North resistance confirmed","H2H/venue plus final","S1","TRUE","North contest response","confirmed","SOURCE UNAVAILABLE","AFLUA assignment not opened","No official effect","5","No conflict","2024 H2H one-point loss","Curtis/Whitlock return helped scoring","Marvel fit confirmed","Cushion stable once North scored 85","Fails only on favourite separation"
"AFL-20260710-COLL-NM-SETTLED","2026-07-11","AFL","Collingwood vs North Melbourne","AFL Round 18","AFL","2026 AFL Laws / premiership season","Full game regulation; official final and quarter splits control","Pregame handicap/total settlement","4","Combined Total Over 173.5","40-49","0.42","Forced bottom; Marvel and defender-absence tail","174+ live","173.5","Final total 174","W","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","ESPN AFL summary API final checked 2026-07-11 AEST","ESPN quarter splits","Bottom over won by 0.5; penalty applied with top-pick loss. Over path was under-ranked.","North scoring rebound","Venue/availability versus final","S1","TRUE","Over tail through North contribution","confirmed","SOURCE UNAVAILABLE","AFLUA assignment not opened","No official effect","5","No conflict","Marvel high-total tail","Forward returns outweighed midfield loss","Indoor venue and missing defenders","Half-point bottom-slot leak","North 80+ or Collingwood 105+"
"AFL-LIVE-20260710-COLL-NM-U1815-SETTLED","2026-07-11","AFL live","Collingwood vs North Melbourne","AFL Round 18","AFL","2026 AFL Laws / premiership season","Full game regulation","Live Under 181.5 Q2","1","Under 181.5 at 40-40 Q2 16:10","50-59","0.53","80 current; 101 further allowed","177-184","181.5","Final total 174","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPN AFL summary API final checked 2026-07-11 AEST","Quarter totals 50,39,42,43","Small live under lean won by 7.5.","LIVE slowdown emerging","Exact live arithmetic","NONE","FALSE","Under","confirmed","SOURCE UNAVAILABLE","Not opened","No effect","5","No conflict","Q2 late slowdown","No new availability input","Exact arithmetic and conversion regression","Near-line live risk","102 more points would lose"
