model_id,model_version,hypothesis_family_id,parent_model_id,change_ticket_id,status,sport_family,competition_scope,market_scope,forecast_state,analysis_mode,architecture_document,owner,approver,approval_utc,expires_utc,data_manifest_hash,code_hash,model_artifact_hash,calibration_artifact_hash,source_map_id,test_report_id,shadow_report_id,known_blockers
DEV_SOCCER_SCORE_V0,0.1.0,HF_SOCCER_SCORE_V0,,,DEVELOPMENT,Soccer,ALL,"goals|result|handicap|total|advance",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved data source map fitted artifact untouched test or prospective shadow
DEV_SOCCER_COUNTS_V0,0.1.0,HF_SOCCER_COUNTS_V0,,,DEVELOPMENT,Soccer,ALL,"corners|cards|shots",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No stable provider definition fitted artifact untouched test or prospective shadow; player props excluded
DEV_BASEBALL_PA_V0,0.1.0,HF_BASEBALL_PA_V0,,,DEVELOPMENT,Baseball,"MLB|NPB|KBO|OTHER","winner|runline|total|team_total|F5|NRFI",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_BASKETBALL_POSSESSION_V0,0.1.0,HF_BASKETBALL_POSSESSION_V0,,,DEVELOPMENT,Basketball,"NBA|WNBA|FIBA|DOMESTIC|SUMMER_LEAGUE|OTHER","winner|spread|total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved source map fitted artifact untouched test or prospective shadow; phase and player props excluded pending separate evidence
DEV_CRICKET_BALL_STATE_V0,0.1.0,HF_CRICKET_BALL_STATE_V0,,,DEVELOPMENT,Cricket,"T20|WT20I|MLC|ODI|TEST|U19|OTHER","winner|innings_total|phase_total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_AFL_SCORE_V0,0.1.0,HF_AFL_SCORE_V0,,,DEVELOPMENT,Australian football,"AFL|AFLW|OTHER","winner|line|margin|total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_ICE_HOCKEY_STATE_V0,0.1.0,HF_ICE_HOCKEY_STATE_V0,,,DEVELOPMENT,Ice hockey,ALL,"regulation_result|winner|puckline|total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_AMERICAN_FOOTBALL_DRIVE_V0,0.1.0,HF_AMERICAN_FOOTBALL_DRIVE_V0,,,DEVELOPMENT,American football,"NFL|COLLEGE|OTHER","winner|spread|total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved source map fitted artifact untouched test or prospective shadow; phase and player props excluded pending separate evidence
DEV_RUGBY_LEAGUE_SCORE_V0,0.1.0,HF_RUGBY_LEAGUE_SCORE_V0,,,DEVELOPMENT,Rugby league,"NRL|NRLW|OTHER","winner|line|margin|total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_RUGBY_UNION_SCORE_V0,0.1.0,HF_RUGBY_UNION_SCORE_V0,,,DEVELOPMENT,Rugby union,ALL,"winner|line|margin|total|team_total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_TENNIS_POINT_V0,0.1.0,HF_TENNIS_POINT_V0,,,DEVELOPMENT,Tennis,ALL,"match_winner|set|game|handicap|total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_VOLLEYBALL_RALLY_V0,0.1.0,HF_VOLLEYBALL_RALLY_V0,,,DEVELOPMENT,Volleyball,ALL,"match_winner|set|point|handicap|total",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_GOLF_HOLE_V0,0.1.0,HF_GOLF_HOLE_V0,,,DEVELOPMENT,Golf,ALL,"winner|placement|matchup|round|hole",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_MOTORSPORT_RACE_V0,0.1.0,HF_MOTORSPORT_RACE_V0,,,DEVELOPMENT,Motorsport,ALL,"winner|podium|placement|matchup|finish",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
DEV_COMBAT_HAZARD_V0,0.1.0,HF_COMBAT_HAZARD_V0,,,DEVELOPMENT,Combat,ALL,"winner|method|duration|round",ALL,ALL,SPORTS_DEVELOPMENT_MODEL_CATALOG_v1.md,,,,,,,,,,,,No approved point-in-time source map fitted artifact untouched test or prospective shadow
