issue,card_id,rows,detail
top_pick_loss_flag_mismatch,AFL-20260710-COLL-NM-SETTLED,10,"rank=4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,SOC-20260617-FRA-SEN,137,"rank=4/4, status=W, flag=false, expected=true"
bottom_pick_win_flag_mismatch,SOC-20260617-AUT-JOR,141,"rank=4/4, status=W, flag=false, expected=true"
bottom_pick_win_flag_mismatch,CRIC-20260617-BAN-AUS-PARLAY,149,"rank=4/4, status=W, flag=false, expected=true"
bottom_pick_win_flag_mismatch,SOC-WC2026-20260619-CZE-RSA,203,"rank=1/4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,SOC-WC2026-20260619-CZE-RSA,204,"rank=2/4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,SOC-WC2026-20260619-CZE-RSA,205,"rank=3/4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRICKET-WT20WC-20260619-WIW-SCOW,207,"rank=1/4, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,CRICKET-WT20WC-20260619-WIW-SCOW,208,"rank=2, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRICKET-WT20WC-20260619-WIW-SCOW,208,"rank=2/4, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,CRICKET-WT20WC-20260619-WIW-SCOW,209,"rank=3, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRICKET-WT20WC-20260619-WIW-SCOW,209,"rank=3/4, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,CRICKET-WT20WC-20260619-WIW-SCOW,210,"rank=4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,WNBA-20260619-ATL-IND,223,"rank=1/4, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,WNBA-20260619-ATL-IND,224,"rank=2, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,WNBA-20260619-ATL-IND,224,"rank=2/4, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,WNBA-20260619-ATL-IND,225,"rank=3, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,WNBA-20260619-ATL-IND,225,"rank=3/4, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,WNBA-20260619-ATL-IND,226,"rank=4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRICKET-MLC-20260619-TSK-SOR,227,"rank=1/4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRICKET-MLC-20260619-TSK-SOR,228,"rank=2/4, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRICKET-MLC-20260619-TSK-SOR,229,"rank=3/4, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,235,"rank=1/6, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,236,"rank=2, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,236,"rank=2/6, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,237,"rank=3, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,237,"rank=3/6, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,238,"rank=4, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,238,"rank=4/6, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,239,"rank=5, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,239,"rank=5/6, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,BKB-NZNBL-20260620-AKL-HBH,240,"rank=6, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,BASE-NPB-20260620-SEI-ORI,242,"rank=2, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,BASE-NPB-20260620-SEI-ORI,243,"rank=3, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,BASE-NPB-20260620-SEI-ORI,244,"rank=4, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRIC-WT20WC-20260620-AUSW-NEDW,249,"rank=1/4, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,CRIC-WT20WC-20260620-AUSW-NEDW,250,"rank=2, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRIC-WT20WC-20260620-AUSW-NEDW,250,"rank=2/4, status=W, flag=true, expected=false"
top_pick_loss_flag_mismatch,CRIC-WT20WC-20260620-AUSW-NEDW,251,"rank=3, status=L, flag=true, expected=false"
bottom_pick_win_flag_mismatch,CRIC-WT20WC-20260620-AUSW-NEDW,251,"rank=3/4, status=L, flag=true, expected=false"
top_pick_loss_flag_mismatch,CRIC-WT20WC-20260620-AUSW-NEDW,252,"rank=4, status=W, flag=true, expected=false"
invalid_or_blank_status,CRIC-ODI-20260620-AFG-IND,265,U
invalid_or_blank_status,CRIC-ODI-20260620-AFG-IND,268,U
bottom_pick_win_flag_mismatch,WNBA-20260622-WAS-MIN,300,"rank=4/6, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,WNBA-20260622-WAS-MIN,301,"rank=5/6, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,WNBA-20260623-DAL-SEA,322,"rank=4/6, status=W, flag=true, expected=false"
bottom_pick_win_flag_mismatch,AFL-20260709-FRE-SYD,408,"rank=4/4, status=L, flag=true, expected=false"
probability_bucket_mismatch,SOC-20260712-NOR-ENG,418,"bucket=60-69, p=0.86"
probability_bucket_mismatch,SOC-20260712-NOR-ENG,419,"bucket=60-69, p=0.82"
probability_bucket_mismatch,SOC-20260712-NOR-ENG,420,"bucket=60-69, p=0.78"
probability_bucket_mismatch,SOC-20260712-NOR-ENG,421,"bucket=60-69, p=0.75"
probability_bucket_mismatch,NBA-SL-20260712-IND-PHI,422,"bucket=60-69, p=0.82"
probability_bucket_mismatch,NBA-SL-20260712-NYK-SAS,426,"bucket=60-69, p=0.74"
probability_bucket_mismatch,SOC-20260712-ARG-SUI,434,"bucket=60-69, p=0.9"
probability_bucket_mismatch,SOC-20260712-ARG-SUI,435,"bucket=60-69, p=0.82"
probability_bucket_mismatch,SOC-20260712-ARG-SUI,436,"bucket=60-69, p=0.81"
probability_bucket_mismatch,SOC-20260712-ARG-SUI,437,"bucket=60-69, p=0.79"
complement_probability_sum,CRIC-20260614-NZW-WIW,27;29,p sum=0.960
complement_probability_sum,BKB-20260614-IND-CON,60;65,p sum=0.960
complement_probability_sum,MLB-20260618-NYM-CIN,161;162,p sum=0.880
complement_outcome_contradiction,CRIC-ODI-20260620-AFG-IND,265;268,U/U: Afghanistan first 5 overs Over 25.5 <> Afghanistan first 5 overs Under 25.5
complement_probability_sum,MLB-20260627-CIN-PIT,394;396,p sum=0.970
complement_probability_sum,MLB-20260627-KC-CHW,399;400,p sum=0.880
complement_probability_sum,AFL-20260709-FRE-SYD,405;407,p sum=1.060
