legacy_row,card_id,date,sport_family,sport_raw,match,competition,market_group,rank,option,line,stated_probability,status,binary_outcome,brier_component,exact_complement_selection,probability_bucket,bucket_mismatch,settlement_source,settlement_has_url,potential_post_event_input,eligible_for_v3_evaluation,exclusion_reason,audit_note
1,SOCCER-20260711-ESP-BEL-CORNERS8,2026-07-11,Soccer,Soccer,Spain vs Belgium,FIFA World Cup 2026 quarter-final,Match corners,1,Combined corners Over 8.0,8.0,0.47,L,0,0.22089999999999999,false,40-49,false,ESPN FIFA World Cup summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error
2,SOCCER-20260711-ESP-BEL,2026-07-11,Soccer,Soccer,Spain vs Belgium,FIFA World Cup 2026 quarter-final,"Self-selected team goals, corners and player SOT",1,Belgium team total Under 1.5 goals regulation,1.5,0.8,W,1,0.03999999999999998,false,80-89,false,ESPN FIFA World Cup summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
3,SOCCER-20260711-ESP-BEL,2026-07-11,Soccer,Soccer,Spain vs Belgium,FIFA World Cup 2026 quarter-final,"Self-selected team goals, corners and player SOT",2,Spain team total Over 0.5 goals regulation,0.5,0.78,W,1,0.04839999999999999,false,70-79,false,ESPN FIFA World Cup summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
4,SOCCER-20260711-ESP-BEL,2026-07-11,Soccer,Soccer,Spain vs Belgium,FIFA World Cup 2026 quarter-final,"Self-selected team goals, corners and player SOT",3,Spain team corners Over 3.5 regulation,3.5,0.76,W,1,0.0576,false,70-79,false,ESPN FIFA World Cup summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
5,SOCCER-20260711-ESP-BEL,2026-07-11,Soccer,Soccer,Spain vs Belgium,FIFA World Cup 2026 quarter-final,"Self-selected team goals, corners and player SOT",4,Mikel Oyarzabal 1+ shot on target regulation,1+,0.72,W,1,0.07840000000000001,false,70-79,false,ESPN FIFA World Cup summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
6,AFL-20260710-COLL-NM-SETTLED,2026-07-11,Australian football,AFL,Collingwood vs North Melbourne,AFL Round 18,Pregame handicap/total settlement,1,Combined Total Under 173.5,173.5,0.58,L,0,0.3364,true,50-59,false,ESPN AFL summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
7,AFL-20260710-COLL-NM-SETTLED,2026-07-11,Australian football,AFL,Collingwood vs North Melbourne,AFL Round 18,Pregame handicap/total settlement,2,Collingwood -16.5,-16.5,0.54,L,0,0.2916,true,50-59,false,ESPN AFL summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
8,AFL-20260710-COLL-NM-SETTLED,2026-07-11,Australian football,AFL,Collingwood vs North Melbourne,AFL Round 18,Pregame handicap/total settlement,3,North Melbourne +16.5,+16.5,0.46,W,1,0.2916,true,40-49,false,ESPN AFL summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
9,AFL-20260710-COLL-NM-SETTLED,2026-07-11,Australian football,AFL,Collingwood vs North Melbourne,AFL Round 18,Pregame handicap/total settlement,4,Combined Total Over 173.5,173.5,0.42,W,1,0.3364000000000001,true,40-49,false,ESPN AFL summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
10,AFL-LIVE-20260710-COLL-NM-U1815-SETTLED,2026-07-11,Australian football,AFL live,Collingwood vs North Melbourne,AFL Round 18,Live Under 181.5 Q2,1,Under 181.5 at 40-40 Q2 16:10,181.5,0.53,W,1,0.22089999999999999,false,50-59,false,ESPN AFL summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
11,AFL-LIVE-20260710-COLL-NM-U1815-HT-SETTLED,2026-07-11,Australian football,AFL live,Collingwood vs North Melbourne,AFL Round 18,Live Under 181.5 halftime,1,Under 181.5 at halftime 47-42,181.5,0.58,W,1,0.17640000000000003,false,50-59,false,ESPN AFL summary API final checked 2026-07-11 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
12,CRICKET-20260710-ENG-IND4,2026-07-10,Cricket,Cricket/T20I,England vs India,"India tour of England 2026, 4th T20I",India innings and powerplay totals,1,India 1st innings Under 197.5,197.5,0.58,W,1,0.17640000000000003,true,50-59,false,ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
