record_id,parent_record_id,forecast_recorded_utc,event_start_utc,sport,competition,event,forecast_state,cutoff_utc,market,selection,line,rank,verdict,potential_winner,model_status,formal_status,result,settled_utc,settlement_source,retrospective,calibration_eligible
V6-MIG-001-A,V6-MIG-001,2026-07-16T09:39:14Z,2026-07-16T09:30:00Z,Australian football,AFL,"Geelong Cats v St Kilda, Round 19",LIVE,2026-07-16T09:39:14Z,"Handicaps and full-game total","NO FORMAL SELECTION",,,PASS,,QUALITATIVE,MODEL_AND_LIVE_STATE_UNAVAILABLE,NOT_GRADED,2026-07-20T08:09:01Z,"Official AFL completed match report","Final 102-75 verified; the documented pass remains ungraded because no selection was made.",FALSE
V6-MIG-001-B,V6-MIG-001,2026-07-16T09:57:24Z,2026-07-16T09:30:00Z,Australian football,AFL,"Geelong Cats v St Kilda, Round 19",LIVE,2026-07-16T09:57:24Z,"Open candidate universe","NO FORMAL SELECTION",,,PASS,,QUALITATIVE,CONTRACT_AND_LIVE_STATE_UNAVAILABLE,NOT_GRADED,2026-07-20T08:09:01Z,"Official AFL completed match report","Final 102-75 verified; the documented pass remains ungraded because no selection was made.",FALSE
V6-MIG-001-C,V6-MIG-001,2026-07-16T11:44:39Z,2026-07-16T09:30:00Z,Australian football,AFL,"Geelong Cats v St Kilda, Round 19",LIVE,2026-07-16T11:44:39Z,Full-game total,"NO FORMAL SELECTION",177.5,,PASS,,QUALITATIVE,MODEL_UNAVAILABLE_AND_CUTOFF_FAILURE,NOT_GRADED,2026-07-20T08:09:01Z,"Official AFL completed match report","Final 102-75 verified; the documented pass remains ungraded because no selection was made.",FALSE
V6-MIG-002,,2026-07-16T11:55:02Z,2026-07-16T12:00:00Z,Cricket,ODI,"England Men v India Men, 2nd ODI",PREGAME,2026-07-16T11:55:02Z,"Open candidate universe","NO FORMAL SELECTION",,,PASS,,QUALITATIVE,MODEL_UNAVAILABLE_AND_UNIVERSE_NOT_FROZEN,NOT_GRADED,2026-07-20T08:09:01Z,"ICC report / completed scorecard","England won by four wickets after India made 233; no formal selection was issued.",FALSE
V6-001,,2026-07-16T18:50:06Z,2026-07-19T14:00:00Z,Cricket,ODI,"West Indies Men v New Zealand Men, 4th ODI",PREGAME,2026-07-16T18:47:02Z,"Team innings and first-10-over totals","NO FORMAL SELECTION",,,PASS,,QUALITATIVE,CONTRACT_AND_INPUTS_UNRESOLVED,NOT_GRADED,2026-07-20T08:09:01Z,"ICC report / Cricbuzz completed scorecard","New Zealand won by one wicket 189/9 to 188; no formal selection was issued.",FALSE
V6-002,,2026-07-16T18:58:07Z,2026-07-16T19:00:00Z,Rugby league,Super League,"Bradford Bulls v Wakefield Trinity, Round 19",PREGAME,2026-07-16T18:53:14Z,"Handicaps and total","NO FORMAL SELECTION",,,PASS,,QUALITATIVE,CONTRACT_UNRESOLVED,NOT_GRADED,2026-07-20T08:09:01Z,"Super League match centre / Sky Sports report","Wakefield won 26-12; no formal handicap total or winner selection was issued.",FALSE
V6-003-A-1,V6-003,2026-07-17T01:50:13Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T01:49:32Z,Full-game total,Over,17.5,1,SUPPORTED,Diablos Rojos del Mexico,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Final 13-5 produced 18 runs; Over 17.5 won although scoring cooled sharply after the live snapshot.",FALSE
V6-003-A-2,V6-003,2026-07-17T01:50:13Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T01:49:32Z,Run line,Diablos Rojos del Mexico,-8.5,2,LEAN,Diablos Rojos del Mexico,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Diablos won by exactly 8; -8.5 lost.",FALSE
V6-003-A-3,V6-003,2026-07-17T01:50:13Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T01:49:32Z,Run line,Tigres de Quintana Roo,+7.5,3,AVOID,Diablos Rojos del Mexico,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Tigres lost by exactly 8; +7.5 lost and the warned run-line gap occurred.",FALSE
V6-003-A-4,V6-003,2026-07-17T01:50:13Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T01:49:32Z,Full-game total,Under,18.5,4,AVOID,Diablos Rojos del Mexico,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Final 18 made Under 18.5 a win; adjacent alternate totals are not independent evidence.",FALSE
V6-003-A-W,V6-003,2026-07-17T01:50:13Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T01:49:32Z,Match winner,Diablos Rojos del Mexico,,WINNER,LEAN,Diablos Rojos del Mexico,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Diablos won 13-5; one qualitative LMB result does not validate the winner module.",FALSE
V6-003-B-1,V6-003,2026-07-17T03:25:59Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T03:24:47Z,Full-game total,Over,19.5,1,PASS,,QUALITATIVE,CONTRACT_UNRESOLVED,LOSS,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Final 18 made Over 19.5 a loss; the original pass is outcome-neutral.",FALSE
V6-003-C-1,V6-003,2026-07-17T03:27:24Z,2026-07-17T00:30:00Z,Baseball,LMB,"Diablos Rojos del Mexico at Tigres de Quintana Roo, Game 3",LIVE,2026-07-17T03:26:35Z,Full-game total,Over,19.5,1,PASS,,QUALITATIVE,CONTRACT_UNRESOLVED,LOSS,2026-07-20T08:09:01Z,"Official Diablos Game 3 report","Final 18 made Over 19.5 a loss; the original pass is outcome-neutral.",FALSE
V6-004,,2026-07-17T04:32:40Z,,Cricket,Major League Cricket,"Washington Freedom v San Francisco Unicorns, MLC Challenger",LIVE,2026-07-17T04:32:40Z,Match winner,Washington Freedom,,WINNER,LEAN,Washington Freedom,QUALITATIVE,QUALITATIVE_LIVE_LEAN,WIN,2026-07-18T02:13:37Z,"Hindustan Times completed scorecard","Washington defended 238/6 as San Francisco reached 231/6; the narrow seven-run win matched the stated slight state edge, while Matthew Short's 121 showed the disclosed set-batter risk was material. One result does not validate an MLC live model.",FALSE
V6-005-1,V6-005,2026-07-18T02:15:54Z,2026-07-18T02:00:00Z,Basketball,WNBA,"Connecticut Sun at Phoenix Mercury",LIVE,2026-07-18T02:15:54Z,First-quarter total,Under,42.0,1,SUPPORTED,Phoenix Mercury,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"WNBA final recap / FOX box score","First-quarter total was 47; the sub-four-minute low-pace sample failed.",FALSE
V6-005-2,V6-005,2026-07-18T02:15:54Z,2026-07-18T02:00:00Z,Basketball,WNBA,"Connecticut Sun at Phoenix Mercury",LIVE,2026-07-18T02:15:54Z,First-half total,Under,83.5,2,LEAN,Phoenix Mercury,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"WNBA final recap / FOX box score","First-half total was 91; the correlated under thesis lost.",FALSE
V6-005-3,V6-005,2026-07-18T02:15:54Z,2026-07-18T02:00:00Z,Basketball,WNBA,"Connecticut Sun at Phoenix Mercury",LIVE,2026-07-18T02:15:54Z,Full-game total,Under,163.5,3,LEAN,Phoenix Mercury,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"WNBA final recap / FOX box score","Full-game total was 179; Under 163.5 lost.",FALSE
V6-005-4,V6-005,2026-07-18T02:15:54Z,2026-07-18T02:00:00Z,Basketball,WNBA,"Connecticut Sun at Phoenix Mercury",LIVE,2026-07-18T02:15:54Z,Full-game total,Over,163.5,4,AVOID,Phoenix Mercury,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-20T08:09:01Z,"WNBA final recap / FOX box score","Full-game total was 179; the comparison-only Over won.",FALSE
V6-005-W,V6-005,2026-07-18T02:15:54Z,2026-07-18T02:00:00Z,Basketball,WNBA,"Connecticut Sun at Phoenix Mercury",LIVE,2026-07-18T02:15:54Z,Match winner,Phoenix Mercury,,WINNER,LEAN,Phoenix Mercury,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"WNBA final recap / FOX box score","Connecticut won 96-83 and led throughout; the Phoenix winner lean lost.",FALSE
V6-006-1,V6-006,2026-07-18T03:07:25Z,2026-07-18T03:15:00Z,Australian rules football,AFL,"Port Adelaide v Fremantle",PRE_GAME,2026-07-18T03:07:25Z,Full-game total,Under,173.5,1,SUPPORTED,Fremantle,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-18T06:21:57Z,"ABC News completed live blog","Under lost as the 178 total cleared the line by 4.5; Fremantle's 103-point ceiling outweighed Port's defensive profile.",FALSE
V6-006-2,V6-006,2026-07-18T03:07:25Z,2026-07-18T03:15:00Z,Australian rules football,AFL,"Port Adelaide v Fremantle",PRE_GAME,2026-07-18T03:07:25Z,Handicap,Port Adelaide,+44.5,2,LEAN,Fremantle,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-18T06:21:57Z,"ABC News completed live blog","Port lost by 28 and covered +44.5 by 16.5; separating winner from large handicap was correct.",FALSE
V6-006-3,V6-006,2026-07-18T03:07:25Z,2026-07-18T03:15:00Z,Australian rules football,AFL,"Port Adelaide v Fremantle",PRE_GAME,2026-07-18T03:07:25Z,Handicap,Fremantle,-44.5,3,PASS,Fremantle,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-18T06:21:57Z,"ABC News completed live blog","Fremantle won by 28 but did not cover 44.5; the pass was appropriate.",FALSE
V6-006-4,V6-006,2026-07-18T03:07:25Z,2026-07-18T03:15:00Z,Australian rules football,AFL,"Port Adelaide v Fremantle",PRE_GAME,2026-07-18T03:07:25Z,Full-game total,Over,173.5,4,AVOID,Fremantle,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-18T06:21:57Z,"ABC News completed live blog","The over won with 178; ranking it AVOID was directionally wrong even though it was not recommended.",FALSE
V6-006-W,V6-006,2026-07-18T03:07:25Z,2026-07-18T03:15:00Z,Australian rules football,AFL,"Port Adelaide v Fremantle",PRE_GAME,2026-07-18T03:07:25Z,Match winner,Fremantle,,WINNER,SUPPORTED,Fremantle,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-18T06:21:57Z,"ABC News completed live blog","Fremantle won 103-75 as expected, but the 28-point margin did not support the large favorite handicap.",FALSE
V6-007-1,V6-007,2026-07-18T06:21:57Z,2026-07-18T06:15:00Z,Australian rules football,AFL,"North Melbourne v Melbourne",START_WINDOW,2026-07-18T06:21:57Z,Handicap,Melbourne,-9.5,1,LEAN,Melbourne,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-18T09:26:33Z,ABC News completed live blog,"Melbourne won by 16 and covered -9.5; the second-half defensive turnaround delivered the side edge.",FALSE
V6-007-2,V6-007,2026-07-18T06:21:57Z,2026-07-18T06:15:00Z,Australian rules football,AFL,"North Melbourne v Melbourne",START_WINDOW,2026-07-18T06:21:57Z,Full-game total,Under,185.5,2,LEAN,Melbourne,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-18T09:26:33Z,ABC News completed live blog,"The 168 total stayed 17.5 below the line; recent low-total evidence was useful without justifying model promotion.",FALSE
V6-007-3,V6-007,2026-07-18T06:21:57Z,2026-07-18T06:15:00Z,Australian rules football,AFL,"North Melbourne v Melbourne",START_WINDOW,2026-07-18T06:21:57Z,Handicap,North Melbourne,+9.5,3,PASS,Melbourne,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-18T09:26:33Z,ABC News completed live blog,"North lost by 16 and did not cover +9.5; retaining it only as a comparison was appropriate.",FALSE
V6-007-4,V6-007,2026-07-18T06:21:57Z,2026-07-18T06:15:00Z,Australian rules football,AFL,"North Melbourne v Melbourne",START_WINDOW,2026-07-18T06:21:57Z,Full-game total,Over,185.5,4,AVOID,Melbourne,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-18T09:26:33Z,ABC News completed live blog,"The 168 total left the over 17.5 short; the avoid direction was correct.",FALSE
V6-007-W,V6-007,2026-07-18T06:21:57Z,2026-07-18T06:15:00Z,Australian rules football,AFL,"North Melbourne v Melbourne",START_WINDOW,2026-07-18T06:21:57Z,Match winner,Melbourne,,WINNER,LEAN,Melbourne,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-18T09:26:33Z,ABC News completed live blog,"Melbourne won 92-76 after overcoming first-half deficits; the lean was correct but the game was not one-way.",FALSE
V6-008-1,V6-008,2026-07-18T09:26:33Z,2026-07-18T09:35:00Z,Australian rules football,AFL,"Collingwood v Carlton",PRE_GAME,2026-07-18T09:26:33Z,Handicap,Collingwood,-4.5,1,LEAN,Collingwood,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-20T08:09:01Z,"Official AFL completed report","Collingwood won 90-69 by 21 and covered -4.5; pressure profile supported the side edge.",FALSE
V6-008-2,V6-008,2026-07-18T09:26:33Z,2026-07-18T09:35:00Z,Australian rules football,AFL,"Collingwood v Carlton",PRE_GAME,2026-07-18T09:26:33Z,Full-game total,Over,163.5,2,LEAN,Collingwood,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"Official AFL completed report","Combined total was 159; Over 163.5 lost.",FALSE
